years_after_graduation,section_name,group_name,sic_detailed,sex,number_of_graduates,earnings_median
1,Accommodation and food service activities,Hotels and similar accommodation,Hotels and similar accommodation,Female,695,17900.0
1,Accommodation and food service activities,Hotels and similar accommodation,Hotels and similar accommodation,Male,415,18200.0
1,Accommodation and food service activities,Holiday centres and villages,Holiday centres and villages,Female,55,16800.0
1,Accommodation and food service activities,Holiday centres and villages,Holiday centres and villages,Male,30,17200.0
1,Accommodation and food service activities,Other holiday and other collective accommodation,Other holiday and other collective accommodation,Female,30,16200.0
1,Accommodation and food service activities,Other holiday and other collective accommodation,Other holiday and other collective accommodation,Male,20,18200.0
1,Accommodation and food service activities,"Recreational vehicle parks, trailer parks and camping grounds","Recreational vehicle parks, trailer parks and camping grounds",Female,75,17700.0
1,Accommodation and food service activities,"Recreational vehicle parks, trailer parks and camping grounds","Recreational vehicle parks, trailer parks and camping grounds",Male,40,16200.0
1,Accommodation and food service activities,Other accommodation,Other accommodation,Female,55,17900.0
1,Accommodation and food service activities,Other accommodation,Other accommodation,Male,20,18600.0
1,Accommodation and food service activities,Licensed restaurants,Licensed restaurants,Female,1445,15700.0
1,Accommodation and food service activities,Licensed restaurants,Licensed restaurants,Male,1070,16100.0
1,Accommodation and food service activities,Unlicensed restaurants and cafes,Unlicensed restaurants and cafes,Female,1085,14600.0
1,Accommodation and food service activities,Unlicensed restaurants and cafes,Unlicensed restaurants and cafes,Male,670,15300.0
1,Accommodation and food service activities,Take-away food shops and mobile food stands,Take-away food shops and mobile food stands,Female,240,13100.0
1,Accommodation and food service activities,Take-away food shops and mobile food stands,Take-away food shops and mobile food stands,Male,320,12000.0
1,Accommodation and food service activities,Event catering activities,Event catering activities,Female,245,16800.0
1,Accommodation and food service activities,Event catering activities,Event catering activities,Male,235,17900.0
1,Accommodation and food service activities,Other food services,Other food services,Female,170,14800.0
1,Accommodation and food service activities,Other food services,Other food services,Male,110,17200.0
1,Accommodation and food service activities,Licensed clubs,Licensed clubs,Female,100,15400.0
1,Accommodation and food service activities,Licensed clubs,Licensed clubs,Male,85,14600.0
1,Accommodation and food service activities,Public houses and bars,Public houses and bars,Female,1480,15000.0
1,Accommodation and food service activities,Public houses and bars,Public houses and bars,Male,1325,15000.0
1,Administrative and support service activities,Renting and leasing of cars and light motor vehicles,Renting and leasing of cars and light motor vehicles,Female,145,23700.0
1,Administrative and support service activities,Renting and leasing of cars and light motor vehicles,Renting and leasing of cars and light motor vehicles,Male,260,23900.0
1,Administrative and support service activities,Renting and leasing of construction and civil engineering machinery and equipment,Renting and leasing of construction and civil engineering machinery and equipment,Female,10,22600.0
1,Administrative and support service activities,Renting and leasing of construction and civil engineering machinery and equipment,Renting and leasing of construction and civil engineering machinery and equipment,Male,20,26300.0
1,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.","Renting and leasing of other machinery, equipment and tangible goods n.e.c.",Female,45,23400.0
1,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.","Renting and leasing of other machinery, equipment and tangible goods n.e.c.",Male,75,23400.0
1,Administrative and support service activities,Other activities of employment placement agencies,Other activities of employment placement agencies,Female,910,19700.0
1,Administrative and support service activities,Other activities of employment placement agencies,Other activities of employment placement agencies,Male,820,21500.0
1,Administrative and support service activities,Temporary employment agency activities,Temporary employment agency activities,Female,3670,18600.0
1,Administrative and support service activities,Temporary employment agency activities,Temporary employment agency activities,Male,2970,20400.0
1,Administrative and support service activities,Human resources provision and management of human resources functions,Human resources provision and management of human resources functions,Female,145,18200.0
1,Administrative and support service activities,Human resources provision and management of human resources functions,Human resources provision and management of human resources functions,Male,155,21900.0
1,Administrative and support service activities,Travel agency activities,Travel agency activities,Female,40,18400.0
1,Administrative and support service activities,Travel agency activities,Travel agency activities,Male,35,21000.0
1,Administrative and support service activities,Tour operator activities,Tour operator activities,Female,60,18200.0
1,Administrative and support service activities,Tour operator activities,Tour operator activities,Male,35,16800.0
1,Administrative and support service activities,Other reservation service activities n.e.c.,Other reservation service activities n.e.c.,Female,35,20100.0
1,Administrative and support service activities,Other reservation service activities n.e.c.,Other reservation service activities n.e.c.,Male,20,20800.0
1,Administrative and support service activities,Private security activities,Private security activities,Female,150,21200.0
1,Administrative and support service activities,Private security activities,Private security activities,Male,365,20100.0
1,Administrative and support service activities,Security systems service activities,Security systems service activities,Female,15,21200.0
1,Administrative and support service activities,Security systems service activities,Security systems service activities,Male,35,20400.0
1,Administrative and support service activities,Combined facilities support activities,Combined facilities support activities,Female,160,21200.0
1,Administrative and support service activities,Combined facilities support activities,Combined facilities support activities,Male,190,24100.0
1,Administrative and support service activities,General cleaning of buildings,General cleaning of buildings,Female,180,17200.0
1,Administrative and support service activities,General cleaning of buildings,General cleaning of buildings,Male,205,23000.0
1,Administrative and support service activities,Disinfecting and exterminating services,Disinfecting and exterminating services,Female,15,23900.0
1,Administrative and support service activities,Disinfecting and exterminating services,Disinfecting and exterminating services,Male,40,23400.0
1,Administrative and support service activities,Other cleaning services,Other cleaning services,Female,25,13500.0
1,Administrative and support service activities,Other cleaning services,Other cleaning services,Male,25,20100.0
1,Administrative and support service activities,Landscape service activities,Landscape service activities,Female,20,19700.0
1,Administrative and support service activities,Landscape service activities,Landscape service activities,Male,95,19300.0
1,Administrative and support service activities,Combined office administrative service activities,Combined office administrative service activities,Female,105,17500.0
1,Administrative and support service activities,Combined office administrative service activities,Combined office administrative service activities,Male,85,22400.0
1,Administrative and support service activities,"Photocopying, document preparation and other specialised office support activities","Photocopying, document preparation and other specialised office support activities",Female,20,19700.0
1,Administrative and support service activities,"Photocopying, document preparation and other specialised office support activities","Photocopying, document preparation and other specialised office support activities",Male,15,20800.0
1,Administrative and support service activities,Activities of call centres,Activities of call centres,Female,475,17900.0
1,Administrative and support service activities,Activities of call centres,Activities of call centres,Male,435,18200.0
1,Administrative and support service activities,Activities of exhibition and fair organisers,Activities of exhibition and fair organisers,Female,40,19300.0
1,Administrative and support service activities,Activities of exhibition and fair organisers,Activities of exhibition and fair organisers,Male,20,19700.0
1,Administrative and support service activities,Activities of conference organisers,Activities of conference organisers,Female,85,23000.0
1,Administrative and support service activities,Activities of conference organisers,Activities of conference organisers,Male,65,22800.0
1,Administrative and support service activities,Activities of collection agencies,Activities of collection agencies,Female,40,20300.0
1,Administrative and support service activities,Activities of collection agencies,Activities of collection agencies,Male,30,19200.0
1,Administrative and support service activities,Packaging activities,Packaging activities,Female,45,19000.0
1,Administrative and support service activities,Packaging activities,Packaging activities,Male,40,20800.0
1,Administrative and support service activities,Other business support service activities n.e.c.,Other business support service activities n.e.c.,Female,1180,20800.0
1,Administrative and support service activities,Other business support service activities n.e.c.,Other business support service activities n.e.c.,Male,1010,22600.0
1,"Agriculture, forestry and fishing","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",Female,30,20100.0
1,"Agriculture, forestry and fishing","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",Male,40,25200.0
1,"Agriculture, forestry and fishing","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",Female,20,17900.0
1,"Agriculture, forestry and fishing","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",Male,20,23400.0
1,"Agriculture, forestry and fishing",Mixed farming,Mixed farming,Female,25,17200.0
1,"Agriculture, forestry and fishing",Mixed farming,Mixed farming,Male,25,21900.0
1,"Arts, entertainment and recreation",Performing arts,Performing arts,Female,205,16400.0
1,"Arts, entertainment and recreation",Performing arts,Performing arts,Male,105,15300.0
1,"Arts, entertainment and recreation",Support activities to performing arts,Support activities to performing arts,Female,40,18500.0
1,"Arts, entertainment and recreation",Support activities to performing arts,Support activities to performing arts,Male,35,17900.0
1,"Arts, entertainment and recreation",Artistic creation,Artistic creation,Female,90,17200.0
1,"Arts, entertainment and recreation",Artistic creation,Artistic creation,Male,65,21700.0
1,"Arts, entertainment and recreation",Operation of arts facilities,Operation of arts facilities,Female,110,14300.0
1,"Arts, entertainment and recreation",Operation of arts facilities,Operation of arts facilities,Male,65,12300.0
1,"Arts, entertainment and recreation",Museums activities,Museums activities,Female,60,14500.0
1,"Arts, entertainment and recreation",Museums activities,Museums activities,Male,30,13700.0
1,"Arts, entertainment and recreation",Operation of historical sites and buildings and similar visitor attractions,Operation of historical sites and buildings and similar visitor attractions,Female,40,13700.0
1,"Arts, entertainment and recreation",Operation of historical sites and buildings and similar visitor attractions,Operation of historical sites and buildings and similar visitor attractions,Male,15,16400.0
1,"Arts, entertainment and recreation",Botanical and zoological gardens and nature reserves activities,Botanical and zoological gardens and nature reserves activities,Female,115,17000.0
1,"Arts, entertainment and recreation",Botanical and zoological gardens and nature reserves activities,Botanical and zoological gardens and nature reserves activities,Male,55,16400.0
1,"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,Female,165,18400.0
1,"Arts, entertainment and recreation",Gambling and betting activities,Gambling and betting activities,Male,245,20100.0
1,"Arts, entertainment and recreation",Operation of sports facilities,Operation of sports facilities,Female,260,16100.0
1,"Arts, entertainment and recreation",Operation of sports facilities,Operation of sports facilities,Male,300,14700.0
1,"Arts, entertainment and recreation",Activities of sport clubs,Activities of sport clubs,Female,225,16400.0
1,"Arts, entertainment and recreation",Activities of sport clubs,Activities of sport clubs,Male,390,17900.0
1,"Arts, entertainment and recreation",Fitness facilities,Fitness facilities,Female,165,16400.0
1,"Arts, entertainment and recreation",Fitness facilities,Fitness facilities,Male,150,13900.0
1,"Arts, entertainment and recreation",Other sports activities,Other sports activities,Female,95,18400.0
1,"Arts, entertainment and recreation",Other sports activities,Other sports activities,Male,135,20300.0
1,"Arts, entertainment and recreation",Activities of amusement parks and theme parks,Activities of amusement parks and theme parks,Female,95,15500.0
1,"Arts, entertainment and recreation",Activities of amusement parks and theme parks,Activities of amusement parks and theme parks,Male,60,17000.0
1,"Arts, entertainment and recreation",Other amusement and recreation activities n.e.c.,Other amusement and recreation activities n.e.c.,Female,155,15000.0
1,"Arts, entertainment and recreation",Other amusement and recreation activities n.e.c.,Other amusement and recreation activities n.e.c.,Male,145,14800.0
1,Construction,Development of building projects,Development of building projects,Female,85,24500.0
1,Construction,Development of building projects,Development of building projects,Male,130,27600.0
1,Construction,Construction of commercial buildings,Construction of commercial buildings,Female,160,28500.0
1,Construction,Construction of commercial buildings,Construction of commercial buildings,Male,385,31800.0
1,Construction,Construction of domestic buildings,Construction of domestic buildings,Female,180,24500.0
1,Construction,Construction of domestic buildings,Construction of domestic buildings,Male,485,31400.0
1,Construction,Construction of roads and motorways,Construction of roads and motorways,Female,20,27600.0
1,Construction,Construction of roads and motorways,Construction of roads and motorways,Male,50,24800.0
1,Construction,Construction of railways and underground railways,Construction of railways and underground railways,Female,10,28500.0
1,Construction,Construction of railways and underground railways,Construction of railways and underground railways,Male,25,24800.0
1,Construction,Construction of utility projects for electricity and telecommunications,Construction of utility projects for electricity and telecommunications,Female,20,25200.0
1,Construction,Construction of utility projects for electricity and telecommunications,Construction of utility projects for electricity and telecommunications,Male,60,27600.0
1,Construction,Construction of other civil engineering projects n.e.c.,Construction of other civil engineering projects n.e.c.,Female,130,27700.0
1,Construction,Construction of other civil engineering projects n.e.c.,Construction of other civil engineering projects n.e.c.,Male,415,31800.0
1,Construction,Electrical installation,Electrical installation,Female,80,19900.0
1,Construction,Electrical installation,Electrical installation,Male,170,24500.0
1,Construction,"Plumbing, heat and air-conditioning installation","Plumbing, heat and air-conditioning installation",Female,90,20300.0
1,Construction,"Plumbing, heat and air-conditioning installation","Plumbing, heat and air-conditioning installation",Male,100,22300.0
1,Construction,Other construction installation,Other construction installation,Female,25,24800.0
1,Construction,Other construction installation,Other construction installation,Male,40,23700.0
1,Construction,Joinery installation,Joinery installation,Female,60,20800.0
1,Construction,Joinery installation,Joinery installation,Male,80,21900.0
1,Construction,Other building completion and finishing,Other building completion and finishing,Female,30,19000.0
1,Construction,Other building completion and finishing,Other building completion and finishing,Male,85,22100.0
1,Construction,Other specialised construction activities n.e.c.,Other specialised construction activities n.e.c.,Female,35,21500.0
1,Construction,Other specialised construction activities n.e.c.,Other specialised construction activities n.e.c.,Male,90,22600.0
1,Education,Pre-primary education,Pre-primary education,Female,285,16400.0
1,Education,Pre-primary education,Pre-primary education,Male,15,17200.0
1,Education,Primary education,Primary education,Female,7200,21500.0
1,Education,Primary education,Primary education,Male,1555,20400.0
1,Education,General secondary education,General secondary education,Female,2615,19000.0
1,Education,General secondary education,General secondary education,Male,1095,19000.0
1,Education,Technical and vocational secondary education,Technical and vocational secondary education,Female,515,17900.0
1,Education,Technical and vocational secondary education,Technical and vocational secondary education,Male,295,18600.0
1,Education,Post-secondary non-tertiary education,Post-secondary non-tertiary education,Female,70,17500.0
1,Education,Post-secondary non-tertiary education,Post-secondary non-tertiary education,Male,45,19300.0
1,Education,First-degree level higher education,First-degree level higher education,Female,1075,20800.0
1,Education,First-degree level higher education,First-degree level higher education,Male,665,20800.0
1,Education,Post-graduate level higher education,Post-graduate level higher education,Female,65,23500.0
1,Education,Post-graduate level higher education,Post-graduate level higher education,Male,45,35800.0
1,Education,Sports and recreation education,Sports and recreation education,Female,85,14600.0
1,Education,Sports and recreation education,Sports and recreation education,Male,110,14200.0
1,Education,Cultural education,Cultural education,Female,50,14300.0
1,Education,Cultural education,Cultural education,Male,15,12900.0
1,Education,Other education n.e.c.,Other education n.e.c.,Female,1080,18600.0
1,Education,Other education n.e.c.,Other education n.e.c.,Male,525,20100.0
1,Education,Educational support services,Educational support services,Female,200,18800.0
1,Education,Educational support services,Educational support services,Male,125,18000.0
1,"Electricity, gas, steam and air conditioning supply",Production of electricity,Production of electricity,Female,25,29200.0
1,"Electricity, gas, steam and air conditioning supply",Production of electricity,Production of electricity,Male,70,36900.0
1,"Electricity, gas, steam and air conditioning supply",Distribution of electricity,Distribution of electricity,Female,60,22300.0
1,"Electricity, gas, steam and air conditioning supply",Distribution of electricity,Distribution of electricity,Male,75,28800.0
1,"Electricity, gas, steam and air conditioning supply",Trade of electricity,Trade of electricity,Female,90,23400.0
1,"Electricity, gas, steam and air conditioning supply",Trade of electricity,Trade of electricity,Male,75,23400.0
1,"Electricity, gas, steam and air conditioning supply",Distribution of gaseous fuels through mains,Distribution of gaseous fuels through mains,Female,25,28100.0
1,"Electricity, gas, steam and air conditioning supply",Distribution of gaseous fuels through mains,Distribution of gaseous fuels through mains,Male,40,30800.0
1,"Electricity, gas, steam and air conditioning supply",Trade of gas through mains,Trade of gas through mains,Female,15,27700.0
1,"Electricity, gas, steam and air conditioning supply",Trade of gas through mains,Trade of gas through mains,Male,20,27700.0
1,Financial and insurance activities,Central banking,Central banking,Female,25,36500.0
1,Financial and insurance activities,Central banking,Central banking,Male,20,37600.0
1,Financial and insurance activities,Banks,Banks,Female,775,33600.0
1,Financial and insurance activities,Banks,Banks,Male,960,38700.0
1,Financial and insurance activities,Building societies,Building societies,Female,110,19700.0
1,Financial and insurance activities,Building societies,Building societies,Male,75,22100.0
1,Financial and insurance activities,Financial leasing,Financial leasing,Female,20,22300.0
1,Financial and insurance activities,Financial leasing,Financial leasing,Male,20,24500.0
1,Financial and insurance activities,Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Female,60,20800.0
1,Financial and insurance activities,Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Male,70,29200.0
1,Financial and insurance activities,Other credit granting n.e.c.,Other credit granting n.e.c.,Female,20,23700.0
1,Financial and insurance activities,Other credit granting n.e.c.,Other credit granting n.e.c.,Male,15,25900.0
1,Financial and insurance activities,Security dealing on own account,Security dealing on own account,Female,20,48400.0
1,Financial and insurance activities,Security dealing on own account,Security dealing on own account,Male,45,47100.0
1,Financial and insurance activities,Financial intermediation not elsewhere classified,Financial intermediation not elsewhere classified,Female,120,24500.0
1,Financial and insurance activities,Financial intermediation not elsewhere classified,Financial intermediation not elsewhere classified,Male,180,25600.0
1,Financial and insurance activities,Life insurance,Life insurance,Female,80,23700.0
1,Financial and insurance activities,Life insurance,Life insurance,Male,115,25600.0
1,Financial and insurance activities,Non-life insurance,Non-life insurance,Female,180,23400.0
1,Financial and insurance activities,Non-life insurance,Non-life insurance,Male,205,26100.0
1,Financial and insurance activities,Administration of financial markets,Administration of financial markets,Female,20,45400.0
1,Financial and insurance activities,Administration of financial markets,Administration of financial markets,Male,15,29900.0
1,Financial and insurance activities,Security and commodity contracts dealing activities,Security and commodity contracts dealing activities,Female,70,26300.0
1,Financial and insurance activities,Security and commodity contracts dealing activities,Security and commodity contracts dealing activities,Male,130,31000.0
1,Financial and insurance activities,Activities auxiliary to financial intermediation n.e.c.,Activities auxiliary to financial intermediation n.e.c.,Female,415,25200.0
1,Financial and insurance activities,Activities auxiliary to financial intermediation n.e.c.,Activities auxiliary to financial intermediation n.e.c.,Male,640,27400.0
1,Financial and insurance activities,Risk and damage evaluation,Risk and damage evaluation,Female,45,20100.0
1,Financial and insurance activities,Risk and damage evaluation,Risk and damage evaluation,Male,45,24800.0
1,Financial and insurance activities,Activities of insurance agents and brokers,Activities of insurance agents and brokers,Female,340,22300.0
1,Financial and insurance activities,Activities of insurance agents and brokers,Activities of insurance agents and brokers,Male,370,25600.0
1,Financial and insurance activities,Other activities auxiliary to insurance and pension funding,Other activities auxiliary to insurance and pension funding,Female,190,23200.0
1,Financial and insurance activities,Other activities auxiliary to insurance and pension funding,Other activities auxiliary to insurance and pension funding,Male,250,25000.0
1,Financial and insurance activities,Fund management activities,Fund management activities,Female,185,32800.0
1,Financial and insurance activities,Fund management activities,Fund management activities,Male,265,37200.0
1,Human health and social work activities,Hospital activities,Hospital activities,Female,21105,29200.0
1,Human health and social work activities,Hospital activities,Hospital activities,Male,5010,33900.0
1,Human health and social work activities,General medical practice activities,General medical practice activities,Female,835,19700.0
1,Human health and social work activities,General medical practice activities,General medical practice activities,Male,230,18700.0
1,Human health and social work activities,Specialists medical practice activities,Specialists medical practice activities,Female,105,21700.0
1,Human health and social work activities,Specialists medical practice activities,Specialists medical practice activities,Male,25,26300.0
1,Human health and social work activities,Dental practice activities,Dental practice activities,Female,265,20800.0
1,Human health and social work activities,Dental practice activities,Dental practice activities,Male,75,32200.0
1,Human health and social work activities,Other human health activities,Other human health activities,Female,4170,26300.0
1,Human health and social work activities,Other human health activities,Other human health activities,Male,1400,29200.0
1,Human health and social work activities,Residential nursing care facilities,Residential nursing care facilities,Female,500,20800.0
1,Human health and social work activities,Residential nursing care facilities,Residential nursing care facilities,Male,90,20300.0
1,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse","Residential care activities for learning difficulties, mental health and substance abuse",Female,155,20100.0
1,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse","Residential care activities for learning difficulties, mental health and substance abuse",Male,45,21200.0
1,Human health and social work activities,Residential care activities for the elderly and disabled,Residential care activities for the elderly and disabled,Female,590,19000.0
1,Human health and social work activities,Residential care activities for the elderly and disabled,Residential care activities for the elderly and disabled,Male,155,19300.0
1,Human health and social work activities,Other residential care activities n.e.c.,Other residential care activities n.e.c.,Female,1335,20400.0
1,Human health and social work activities,Other residential care activities n.e.c.,Other residential care activities n.e.c.,Male,310,20800.0
1,Human health and social work activities,Social work activities without accommodation for the elderly and disabled,Social work activities without accommodation for the elderly and disabled,Female,885,18200.0
1,Human health and social work activities,Social work activities without accommodation for the elderly and disabled,Social work activities without accommodation for the elderly and disabled,Male,200,19000.0
1,Human health and social work activities,Child day-care activities,Child day-care activities,Female,1205,17200.0
1,Human health and social work activities,Child day-care activities,Child day-care activities,Male,100,16400.0
1,Human health and social work activities,Other social work activities without accommodation n.e.c.,Other social work activities without accommodation n.e.c.,Female,1600,20400.0
1,Human health and social work activities,Other social work activities without accommodation n.e.c.,Other social work activities without accommodation n.e.c.,Male,425,20100.0
1,Information and communication,Book publishing,Book publishing,Female,145,22300.0
1,Information and communication,Book publishing,Book publishing,Male,45,21900.0
1,Information and communication,Publishing of newspapers,Publishing of newspapers,Female,130,21900.0
1,Information and communication,Publishing of newspapers,Publishing of newspapers,Male,85,21200.0
1,Information and communication,Publishing of learned journals,Publishing of learned journals,Female,20,23400.0
1,Information and communication,Publishing of learned journals,Publishing of learned journals,Male,15,28100.0
1,Information and communication,Publishing of  consumer and business journals and periodicals,Publishing of  consumer and business journals and periodicals,Female,195,20100.0
1,Information and communication,Publishing of  consumer and business journals and periodicals,Publishing of  consumer and business journals and periodicals,Male,65,21700.0
1,Information and communication,Other publishing activities,Other publishing activities,Female,130,21900.0
1,Information and communication,Other publishing activities,Other publishing activities,Male,80,22300.0
1,Information and communication,Publishing of computer games,Publishing of computer games,Female,15,18200.0
1,Information and communication,Publishing of computer games,Publishing of computer games,Male,30,21900.0
1,Information and communication,Other software publishing,Other software publishing,Female,55,26100.0
1,Information and communication,Other software publishing,Other software publishing,Male,130,25900.0
1,Information and communication,Motion picture production activities,Motion picture production activities,Female,195,22900.0
1,Information and communication,Motion picture production activities,Motion picture production activities,Male,210,24800.0
1,Information and communication,Video production activities,Video production activities,Female,100,19500.0
1,Information and communication,Video production activities,Video production activities,Male,100,18600.0
1,Information and communication,Television programme production activities,Television programme production activities,Female,395,25900.0
1,Information and communication,Television programme production activities,Television programme production activities,Male,285,24500.0
1,Information and communication,"Motion picture, video and television programme post-production activities","Motion picture, video and television programme post-production activities",Female,65,20400.0
1,Information and communication,"Motion picture, video and television programme post-production activities","Motion picture, video and television programme post-production activities",Male,85,20800.0
1,Information and communication,Motion picture distribution activities,Motion picture distribution activities,Female,35,21500.0
1,Information and communication,Motion picture distribution activities,Motion picture distribution activities,Male,15,20100.0
1,Information and communication,Motion picture projection activities,Motion picture projection activities,Female,110,12000.0
1,Information and communication,Motion picture projection activities,Motion picture projection activities,Male,105,11800.0
1,Information and communication,Sound recording and music publishing activities,Sound recording and music publishing activities,Female,65,18200.0
1,Information and communication,Sound recording and music publishing activities,Sound recording and music publishing activities,Male,50,19300.0
1,Information and communication,Radio broadcasting,Radio broadcasting,Female,20,19000.0
1,Information and communication,Radio broadcasting,Radio broadcasting,Male,25,19300.0
1,Information and communication,Television programming and broadcasting activities,Television programming and broadcasting activities,Female,185,27400.0
1,Information and communication,Television programming and broadcasting activities,Television programming and broadcasting activities,Male,200,28800.0
1,Information and communication,Wired telecommunications activities,Wired telecommunications activities,Female,25,23200.0
1,Information and communication,Wired telecommunications activities,Wired telecommunications activities,Male,30,24100.0
1,Information and communication,Wireless telecommunications activities,Wireless telecommunications activities,Female,70,28800.0
1,Information and communication,Wireless telecommunications activities,Wireless telecommunications activities,Male,130,32700.0
1,Information and communication,Satellite telecommunications activities,Satellite telecommunications activities,Female,40,21500.0
1,Information and communication,Satellite telecommunications activities,Satellite telecommunications activities,Male,55,22400.0
1,Information and communication,Other telecommunications activities,Other telecommunications activities,Female,320,23700.0
1,Information and communication,Other telecommunications activities,Other telecommunications activities,Male,480,26300.0
1,Information and communication,Ready-made interactive leisure and entertainment software development,Ready-made interactive leisure and entertainment software development,Female,75,25200.0
1,Information and communication,Ready-made interactive leisure and entertainment software development,Ready-made interactive leisure and entertainment software development,Male,285,23700.0
1,Information and communication,Business and domestic software development,Business and domestic software development,Female,650,24800.0
1,Information and communication,Business and domestic software development,Business and domestic software development,Male,1480,27400.0
1,Information and communication,Information technology consultancy activities,Information technology consultancy activities,Female,945,27000.0
1,Information and communication,Information technology consultancy activities,Information technology consultancy activities,Male,2170,27400.0
1,Information and communication,Other information technology service activities,Other information technology service activities,Female,445,25200.0
1,Information and communication,Other information technology service activities,Other information technology service activities,Male,875,28100.0
1,Information and communication,"Data processing, hosting and related activities","Data processing, hosting and related activities",Female,140,23400.0
1,Information and communication,"Data processing, hosting and related activities","Data processing, hosting and related activities",Male,210,26800.0
1,Information and communication,Web portals,Web portals,Female,110,24500.0
1,Information and communication,Web portals,Web portals,Male,100,27400.0
1,Information and communication,News agency activities,News agency activities,Female,30,24500.0
1,Information and communication,News agency activities,News agency activities,Male,45,35300.0
1,Information and communication,Other information service activities n.e.c.,Other information service activities n.e.c.,Female,70,21900.0
1,Information and communication,Other information service activities n.e.c.,Other information service activities n.e.c.,Male,85,24800.0
1,Manufacturing,Processing and preserving of poultry meat,Processing and preserving of poultry meat,Female,15,23400.0
1,Manufacturing,Processing and preserving of poultry meat,Processing and preserving of poultry meat,Male,15,25900.0
1,Manufacturing,Production of meat and poultry meat products,Production of meat and poultry meat products,Female,15,19200.0
1,Manufacturing,Production of meat and poultry meat products,Production of meat and poultry meat products,Male,20,23400.0
1,Manufacturing,Other processing and preserving of fruit and vegetables,Other processing and preserving of fruit and vegetables,Female,20,23700.0
1,Manufacturing,Other processing and preserving of fruit and vegetables,Other processing and preserving of fruit and vegetables,Male,10,26300.0
1,Manufacturing,Manufacture of bread; manufacture of fresh pastry goods and cakes,Manufacture of bread; manufacture of fresh pastry goods and cakes,Female,100,19300.0
1,Manufacturing,Manufacture of bread; manufacture of fresh pastry goods and cakes,Manufacture of bread; manufacture of fresh pastry goods and cakes,Male,50,18600.0
1,Manufacturing,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Female,15,22300.0
1,Manufacturing,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Male,25,24100.0
1,Manufacturing,Manufacture of cocoa and chocolate confectionery,Manufacture of cocoa and chocolate confectionery,Female,45,23700.0
1,Manufacturing,Manufacture of cocoa and chocolate confectionery,Manufacture of cocoa and chocolate confectionery,Male,25,31800.0
1,Manufacturing,Manufacture of prepared meals and dishes,Manufacture of prepared meals and dishes,Female,45,23700.0
1,Manufacturing,Manufacture of prepared meals and dishes,Manufacture of prepared meals and dishes,Male,35,19700.0
1,Manufacturing,Manufacture of other food products n.e.c.,Manufacture of other food products n.e.c.,Female,45,22800.0
1,Manufacturing,Manufacture of other food products n.e.c.,Manufacture of other food products n.e.c.,Male,40,25600.0
1,Manufacturing,"Distilling, rectifying and blending of spirits","Distilling, rectifying and blending of spirits",Female,25,23000.0
1,Manufacturing,"Distilling, rectifying and blending of spirits","Distilling, rectifying and blending of spirits",Male,10,21900.0
1,Manufacturing,Manufacture of beer,Manufacture of beer,Female,45,20600.0
1,Manufacturing,Manufacture of beer,Manufacture of beer,Male,60,19700.0
1,Manufacturing,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture of soft drinks; production of mineral waters and other bottled waters,Female,25,23400.0
1,Manufacturing,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture of soft drinks; production of mineral waters and other bottled waters,Male,20,22400.0
1,Manufacturing,Manufacture of other builders' carpentry and joinery,Manufacture of other builders' carpentry and joinery,Female,30,21900.0
1,Manufacturing,Manufacture of other builders' carpentry and joinery,Manufacture of other builders' carpentry and joinery,Male,50,23700.0
1,Manufacturing,Manufacture of other paper and paperboard containers,Manufacture of other paper and paperboard containers,Female,25,22300.0
1,Manufacturing,Manufacture of other paper and paperboard containers,Manufacture of other paper and paperboard containers,Male,20,24100.0
1,Manufacturing,Printing n.e.c.,Printing n.e.c.,Female,105,17900.0
1,Manufacturing,Printing n.e.c.,Printing n.e.c.,Male,70,18200.0
1,Manufacturing,Pre-press and pre-media services,Pre-press and pre-media services,Female,15,18100.0
1,Manufacturing,Pre-press and pre-media services,Pre-press and pre-media services,Male,10,20100.0
1,Manufacturing,"Manufacture of paints, varnishes and similar coatings, mastics and sealants","Manufacture of paints, varnishes and similar coatings, mastics and sealants",Female,15,20300.0
