years_after_graduation,section_name,group_name,sic_detailed,sex,number_of_graduates,earnings_median
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,Retail sale of clothing in specialised stores,Retail sale of clothing in specialised stores,Female,1795,15300.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,Retail sale of clothing in specialised stores,Retail sale of clothing in specialised stores,Male,600,15000.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,Retail sale of footwear in specialised stores,Retail sale of footwear in specialised stores,Female,180,13500.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,Retail sale of footwear in specialised stores,Retail sale of footwear in specialised stores,Male,75,14800.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,Dispensing chemist in specialised stores,Dispensing chemist in specialised stores,Female,450,19000.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,Dispensing chemist in specialised stores,Dispensing chemist in specialised stores,Male,280,19300.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,Retail sale of hearing aids,Retail sale of hearing aids,Female,25,26100.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,Retail sale of hearing aids,Retail sale of hearing aids,Male,15,30300.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,Retail sale of cosmetic and toilet articles in specialised stores,Retail sale of cosmetic and toilet articles in specialised stores,Female,310,15000.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,Retail sale of cosmetic and toilet articles in specialised stores,Retail sale of cosmetic and toilet articles in specialised stores,Male,50,14200.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores","Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores",Female,215,16400.0
1,Wholesale and retail trade - repair of motor vehicles and motorcycles,"Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores","Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores",Male,130,13900.0
